Ethanol concentration
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.85144
0.81422
0.82308
0.8305
0.8363
0.84068
0.84389
0.84623
0.8479
0.84909
0.84994
0.85054
0.85097
0.85128
0.85149
0.85164
0.85175
0.85183
0.85188
0.85192
0.85195
0.85197
0.85198
0.85199
0.852
0.85201
0.85201
0.85201
0.85201
0.85202
0.85202
0.85202
0.85202
0.85214
0.85211
0.85093
0.84771
0.84561
0.84455
0.84515
0.84644
0.84777
0.84888
0.84975
0.85039
0.85141
0.85177
0.85076
0.84758
0.84548
0.84443
0.84504
0.84636
0.84771
0.84884
0.84972
0.85037
0.8514
0.85177
0.85075
0.84758
0.84155
0.83247
0.82037
0.80529
0.80075
0.8062
0.81507
0.82365
0.83089
0.83658
0.84087
0.84403
