Pressure,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,L,V,D,B,F,Ethanol concentration,time_hours,hour_of_day,T1_lag1,T1_lag5,T1_lag10,T1_lag30,T1_lag60,T1_lag240,T2_lag1,T2_lag5,T2_lag10,T2_lag30,T2_lag60,T2_lag240,T3_lag1,T3_lag5,T3_lag10,T3_lag30,T3_lag60,T3_lag240,T4_lag1,T4_lag5,T4_lag10,T4_lag30,T4_lag60,T4_lag240,T5_lag1,T5_lag5,T5_lag10,T5_lag30,T5_lag60,T5_lag240,T1_rolling_mean_5,T2_rolling_mean_5,T3_rolling_mean_5,T4_rolling_mean_5,T5_rolling_mean_5,hour_of_day_sin,hour_of_day_cos
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.1,1.1000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.9,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.2840153447039229,0.9588197348681929
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.200000000000003,1.2000000000000028,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.3090169943749481,0.9510565162951533
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.3,1.3000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.3338068592337711,0.9426414910921783
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.400000000000002,1.4000000000000021,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.3583679495453008,0.9335804264972015
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.5,1.5,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.3826834323650898,0.9238795325112867
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.6,1.6000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.40673664307580054,0.9135454576426008
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.700000000000003,1.7000000000000028,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.4305110968082958,0.9025852843498603
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.8,1.8000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.45399049973954697,0.8910065241883678
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,25.900000000000002,1.9000000000000021,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.4771587602596089,0.878817112661965
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.0,2.0,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.49999999999999994,0.8660254037844387
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.1,2.1000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.5224985647159491,0.8526401643540921
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.200000000000003,2.200000000000003,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.5446390350150276,0.8386705679454236
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.3,2.3000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.5664062369248329,0.8241261886220156
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.400000000000002,2.400000000000002,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.5877852522924736,0.8090169943749471
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.5,2.5,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.6087614290087207,0.7933533402912352
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.6,2.6000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.6293203910498377,0.7771459614569707
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.700000000000003,2.700000000000003,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.6494480483301842,0.7604059656000305
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.8,2.8000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.6691306063588583,0.7431448254773941
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,26.900000000000002,2.900000000000002,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.6883545756937545,0.7253743710122872
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.0,3.0,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.7071067811865475,0.7071067811865476
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.1,3.1000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.725374371012288,0.6883545756937537
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.200000000000003,3.200000000000003,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.7431448254773947,0.6691306063588577
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.3,3.3000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.760405965600031,0.6494480483301835
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.400000000000002,3.400000000000002,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.7771459614569712,0.6293203910498371
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.5,3.5,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.7933533402912352,0.6087614290087207
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.6,3.6000000000000014,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8090169943749477,0.5877852522924728
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.700000000000003,3.700000000000003,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.824126188622016,0.5664062369248323
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.8,3.8000000000000007,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8386705679454242,0.544639035015027
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,27.900000000000002,3.900000000000002,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8526401643540925,0.5224985647159484
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.0,4.0,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8660254037844386,0.5000000000000001
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.1,4.100000000000001,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8788171126619656,0.477158760259608
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.200000000000003,4.200000000000003,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.8910065241883681,0.45399049973954625
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.3,4.300000000000001,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.9025852843498606,0.430511096808295
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.400000000000002,4.400000000000002,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.9135454576426011,0.40673664307579976
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.5,4.5,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.9238795325112867,0.38268343236508984
1.01,350.82,350.86,350.89,350.94,350.99,351.06,351.14,351.25,351.41,351.66,352.08,353.01,354.75,362.92,780.0,1040.0,260,340,600,0.85144,28.6,4.600000000000001,350.82,350.82,350.82,350.82,350.82,350.82,350.86,350.86,350.86,350.86,350.86,350.86,350.89,350.89,350.89,350.89,350.89,350.89,350.94,350.94,350.94,350.94,350.94,350.94,350.99,350.99,350.99,350.99,350.99,350.99,350.82,350.86,350.89,350.94,350.99,0.9335804264972019,0.3583679495453
